Ville,Temperature
Le Petit-Quevilly,9.32
Le Perreux-sur-Marne,9.09
Le Pecq,8.7
Lens,7.08
Le Mée-sur-Seine,9.47
Le Kremlin-Bicêtre,9.05
Le Grand-Quevilly,9.05
Arrondissement d'Autun,3.45
Le Creusot,3.46
Le Chesnay-Rocquencourt,8.52
Le Cannet,14.49
Le Bouscat,13.77
Le Blanc-Mesnil,9.08
Laxou,6.02
Laxou,6.03
Lanester,10.9
Lambersart,7.19
La Madeleine,7.16
Lagny-sur-Marne,9.18
La Garenne-Colombes,9.01
La Garde,14.65
La Garde,14.7
La Ciotat,14.85
La Chapelle-sur-Erdre,8.79
La Celle-Saint-Cloud,8.26
Jouy-le-Moutier,8.6
Joué-lès-Tours,6.79
Joinville-le-Pont,9.13
Issoire,-0.41
Illzach,2.56
Illkirch-Graffenstaden,4.09
Houilles,9.09
Hérouville-Saint-Clair,8.5
Herblay-sur-Seine,8.7
Hénin-Beaumont,7.03
Hem,7.02
Arrondissement de Thionville-Ouest,5.12
Hayange,5.15
Hautmont,5.3
Yutz,5.43
Haubourdin,7.23
Halluin,7.15
Guyancourt,8.23
Guéret,10.35
Guéret,10.35
Grasse,11.22
Grande-Synthe,7.08
Grande-Synthe,7.4
Gonesse,8.97
Givors,3.67
Givors,3.92
Gien,8.52
Gennevilliers,9.11
Garges-lès-Gonesse,8.88
Gardanne,13.41
Gardanne,13.56
Fresnes,9.09
Franconville,8.78
Fos-sur-Mer,14.19
Forbach,4.09
Fontenay-sous-Bois,8.92
Fontenay-aux-Roses,8.8
Fontaine,3.66
Fontaine,5.13
Floirac,13.82
Floirac,13.4
Fécamp,8.43
Faches-Thumesnil,7.04
Évry-Courcouronnes,9.19
Évreux,8.37
La Baule-Escoublac,9.79
Ermont,8.91
Éragny-sur-Oise,8.67
Épinay-sur-Seine,9.03
Épinal,5.16
Élancourt,8.5
Écully,3.21
Écully,3.03
Eaubonne,8.78
Draveil,9.12
Douarnenez,11.09
Douai,6.97
Domont,8.55
Dole,3.94
Dijon,5.37
Dieppe,8.34
Deuil-la-Barre,8.6
Denain,6.82
Denain,6.82
Décines-Charpieu,3.8
Cugnaux,13.72
Cugnaux,13.66
Cran-Gevrier,2.59
Courbevoie,8.96
Coulommiers,9.29
Coudekerque-Branche,7.1
Cormeilles-en-Parisis,8.07
Corbeil-Essonnes,9.23
Conflans-Sainte-Honorine,8.8
Concarneau,11.24
Compiègne,8.72
Combs-la-Ville,9.11
Pontault-Combault,8.72
Colomiers,14.07
Colomiers,13.83
Cluses,3.22
Clichy-sous-Bois,8.63
Clichy,9.05
Clamart,8.58
Choisy-le-Roi,9.2
Chilly-Mazarin,9.06
Chevilly-Larue,8.84
Cherbourg-Octeville,8.91
Chenôve,5.21
Chennevières-sur-Marne,9.15
Chaville,8.41
Chatou,8.99
Châtillon,8.58
Châtenay-Malabry,8.55
Arrondissement de Châtellerault,5.27
Châtellerault,5.39
Châteaudun,8.06
Chartres,8.91
Charenton-le-Pont,9.14
Champs-sur-Marne,8.93
Champigny-sur-Marne,9.04
Challans,9.33
Challans,9.33
Cergy,8.77
Cenon,13.71
Cenon,13.33
Roussillon,10.78
Clavaillan,10.99
Cavaillon,11.7
Castres,13.39
Castelnau-le-Lez,11.26
Castelnau-le-Lez,11.26
Carrières-sous-Poissy,8.87
Carquefou,8.81
Carpentras,10.73
Canteleu,8.49
Cannes,14.68
Caluire-et-Cuire,3.15
Calais,7.77
Cahors,10.67
Cagnes-sur-Mer,14.53
Cagnes-sur-Mer,14.45
Cachan,8.97
Bry-sur-Marne,9.14
Brunoy,9.16
Bruay-la-Buissière,7.04
Brétigny-sur-Orge,9.0
Brest,10.78
Arrondissement de Bressuire,6.88
Bressuire,6.46
Bourgoin-Jallieu,4.44
Bourgoin,4.18
Bourg-lès-Valence,6.58
Bourg-la-Reine,9.0
Bourg-en-Bresse,2.25
Boulogne-sur-Mer,7.9
Bouguenais,8.95
Bondy,8.96
Boissy-Saint-Léger,8.84
Bois-Colombes,9.07
Bobigny,9.06
Bischheim,3.97
Bezons,8.98
Béziers,11.72
Béthune,7.21
Berck,7.91
Berck,7.93
Berck-Plage,7.88
Balma,14.09
Balma,14.09
Bagnols-sur-Cèze,10.62
Bagnols-sur-Cèze,10.49
Bagneux,8.75
Aulnay-sous-Bois,9.09
Audincourt,3.83
Audincourt,3.65
Aubervilliers,9.06
Aubagne,14.36
Athis-Mons,8.92
Asnières-sur-Seine,9.04
Arras,6.58
Arles,11.92
Argenteuil,9.05
Arcueil,9.08
Antony,9.05
Antibes,14.53
Annonay,4.21
Annonay,4.44
Annecy,2.99
Anglet,13.02
Allauch,14.15
Allauch,13.99
Alès,9.59
Albertville,4.46
Ajaccio,14.97
Aix-les-Bains,3.69
Agde,11.93
Achères,8.94
Abbeville,7.15
Villeneuve-d'Ascq,7.07
Bourgoin-Jallieu,4.41
Wissant,7.92
Vitry-sur-Orne,5.13
Villers-Bocage,5.71
Villefranche-de-Lauragais,12.32
Villefranche-sur-Cher,7.76
Villebernier,9.3
Vernantes,9.0
Valmont,4.34
Valbonne,13.03
Vairé,9.21
Uzemain,4.77
Tulette,10.38
Trouillas,11.4
Treffléan,10.09
Le Blanc,6.22
Tournay,16.51
Toulon-sur-Arroux,4.15
Thouaré-sur-Loire,8.72
Tatinghem,7.16
Souillac,13.08
Souesmes,7.01
Sixt-sur-Aff,10.32
Sireuil,9.9
Scherwiller,3.5
Saulgé,5.05
Sarrola,13.89
Sarrebourg,3.74
Sarralbe,4.24
Salins,9.58
Saint-Trojan-les-Bains,9.49
Saint-Symphorien,7.73
Saint-Paul,6.96
Saint-Paterne-Racan,7.09
Saint-Nicolas-de-Port,6.04
Saint-Nauphary,14.55
Saint-Max,6.04
Saint-Laurent-de-la-Plaine,8.92
Saint-Jean-le-Vieux,3.1
Saint-Jean-de-Losne,4.53
Saint-Jean-de-Liversay,9.39
Saint-Gaudens,11.21
Saint-Fulgent,9.03
Le Pin,3.58
Saint-Florent-le-Vieil,8.87
Saint-Félix-Lauragais,11.68
Saint-Étienne-de-Cuines,7.05
Sainte-Sigolène,-1.73
Saint-Cassien,4.1
Saint-Aubin-des-Châteaux,9.69
Saint-André-les-Vergers,9.97
Saint-Amé,2.61
Rumilly-en-Cambrésis,6.14
Rumersheim-le-Haut,2.81
Rosenau,3.4
Rocquencourt,8.3
Rivedoux-Plage,9.82
Riquewihr,2.34
Riorges,3.1
Rinxent,7.82
Riez,10.29
Ribaute-les-Tavernes,10.09
Réville,8.85
Rémelfing,4.19
Réhon,5.13
Recquignies,5.32
Rai,7.41
Rai,7.41
Quillan,9.38
Quemper-Guézennec,8.66
Quelaines-Saint-Gault,9.09
Proville,6.39
Prix-lès-Mézières,9.6
Prahecq,7.42
Pouzac,14.86
Pouilly-les-Nonains,2.94
Port-Louis,10.84
Pont-Sainte-Marie,9.89
Pontailler-sur-Saône,5.0
Pommerit-Jaudy,9.0
Poix-de-Picardie,5.97
Plouvorn,10.7
Plouguin,10.95
Plouguiel,9.16
Plougrescant,9.2
Plouénan,10.77
Ploubazlanec,8.8
Plouay,10.45
Plonéis,10.44
Plomelin,11.11
Plombières-lès-Dijon,4.97
Ploemel,10.64
Plobannalec-Lesconil,11.41
Pleuven,10.88
Pézilla-la-Rivière,11.11
Pasly,8.64
Parthenay,6.61
Pannes,8.31
